company_name,arabic_name,sector,sub_sector,city,country,website,email,phone,linkedin_url,employees,founded_year,description,is_startup,is_listed,tags
Elm Company,شركة عِلم,Information Technology,Digital Government Solutions & Software,Riyadh,Saudi Arabia,https://www.elm.sa,N/A,+966-11-2888-56,https://www.linkedin.com/company/elm-company,1000-5000,2000,Elm is a leading Saudi company specializing in secure digital solutions and e-services for both public and private sectors. It develops innovative software platforms for government digital transformation and identity management. Elm is a key enabler of Saudi Arabia's Vision 2030 digital agenda.,False,True,"GovTech, Digital Transformation, e-Services, Identity Management, Vision 2030"
stc (Saudi Telecom Company),شركة الاتصالات السعودية,Information Technology,Telecommunications & Software Services,Riyadh,Saudi Arabia,https://www.stc.com.sa,N/A,+966-920-000-999,https://www.linkedin.com/company/stc-ksa,10000+,1998,"stc is Saudi Arabia's largest telecommunications and digital services company, offering mobile, internet, cloud, and enterprise software solutions. It leads the market in 5G infrastructure and digital innovation across the Kingdom. stc's subsidiary stc pay and stc solutions extend its reach into fintech and B2B software services.",False,True,"Telecom, 5G, Cloud Services, Enterprise Software, Fintech"
Takamol Holding,تكامل القابضة,Information Technology,HR Tech & Workforce Software,Riyadh,Saudi Arabia,https://www.takamol.com.sa,N/A,+966-11-4609-888,https://www.linkedin.com/company/takamol-holding,500-1000,2013,Takamol Holding is a Saudi technology company focused on building innovative digital platforms for the labor market and workforce management. It operates Musaned and other e-platforms supporting Saudi Arabia's labor reform initiatives. Takamol plays a pivotal role in labor digitization aligned with Vision 2030.,False,False,"HR Tech, Labor Market, Workforce Software, E-Government, Vision 2030"
Unifonic,يونيفونك,Information Technology,Customer Engagement & Communication Software,Riyadh,Saudi Arabia,https://www.unifonic.com,N/A,+966-11-520-0020,https://www.linkedin.com/company/unifonic,200-500,2006,"Unifonic is an AI-driven customer engagement platform headquartered in Riyadh, enabling businesses to communicate with customers via SMS, voice, WhatsApp, and chatbots. The platform offers a unified omnichannel solution tailored for enterprise clients across the Middle East. Unifonic has expanded globally with offices in multiple countries.",False,False,"CPaaS, Customer Engagement, AI, Omnichannel, SaaS, Messaging"
Saudi Software Company (SSC),شركة البرمجيات السعودية,Information Technology,Enterprise Software & ERP,Riyadh,Saudi Arabia,https://www.ssc.com.sa,N/A,+966-11-479-8888,https://www.linkedin.com/company/saudi-software-company,200-500,1991,"Saudi Software Company (SSC) is one of the Kingdom's pioneering enterprise software providers, specializing in ERP, financial management, and business solutions. It serves government entities and large private-sector organizations across Saudi Arabia. SSC has decades of experience delivering localized software tailored to Saudi regulatory requirements.",False,False,"ERP, Enterprise Software, Financial Systems, Business Solutions, Government IT"
SAP Saudi Arabia,ساب السعودية,Information Technology,Enterprise Resource Planning (ERP) Software,Riyadh,Saudi Arabia,https://www.sap.com/saudi-arabia,N/A,+966-11-299-7676,https://www.linkedin.com/company/sap,500-1000,1997,"SAP Saudi Arabia is the local subsidiary of the global ERP and enterprise software giant SAP SE, headquartered in Riyadh. It provides cloud ERP, analytics, and AI-powered business software to large enterprises and government entities across the Kingdom. SAP is a strategic partner in Saudi Arabia's digital transformation and Vision 2030 programs.",False,False,"ERP, Cloud, Enterprise Software, Analytics, AI, Digital Transformation"
Oracle Saudi Arabia,أوراكل السعودية,Information Technology,Database Software & Cloud Applications,Riyadh,Saudi Arabia,https://www.oracle.com/sa,N/A,+966-11-460-1500,https://www.linkedin.com/company/oracle,200-500,1998,"Oracle Saudi Arabia is the regional office of Oracle Corporation, offering database management, cloud infrastructure, and enterprise application software. It serves major banks, government bodies, and telecom operators in the Kingdom with industry-leading solutions. Oracle has committed significant cloud infrastructure investment to Saudi Arabia through a dedicated cloud region.",False,False,"Database, Cloud, Enterprise Applications, SaaS, ERP, Infrastructure"
IoT (Internet of Things) Arabia,إنترنت الأشياء العربية,Information Technology,IoT Software & Smart Solutions,Riyadh,Saudi Arabia,https://www.iot.com.sa,N/A,N/A,N/A,50-200,2015,"IoT Arabia is a Riyadh-based technology company specializing in Internet of Things software platforms and smart solutions for industrial and commercial clients in Saudi Arabia. The company provides sensor integration, data analytics, and connected device management software. It supports Saudi smart city initiatives and the digital infrastructure needs of Vision 2030.",False,False,"IoT, Smart Solutions, Data Analytics, Connected Devices, Smart City"
DataServe,داتا سيرف,Information Technology,IT Hardware & Infrastructure Services,Riyadh,Saudi Arabia,https://www.dataserve.com.sa,info@dataserve.com.sa,+966 55 795 5446,N/A,50-200,2005,"DataServe is a Riyadh-based IT services company specializing in hardware infrastructure, data center solutions, and managed IT services for enterprise clients across Saudi Arabia. The company provides server deployment, network hardware installation, and ongoing technical support. It serves a range of government and private sector clients throughout the Kingdom.",False,False,"IT Hardware, Data Center, Managed Services, Infrastructure, Servers"
Al Moammar Information Systems (MIS),شركة المعمر لنظم المعلومات,Information Technology,IT Hardware Distribution & Services,Riyadh,Saudi Arabia,https://www.al-moammar.com,info@al-moammar.com,+966 11 218 4888,https://www.linkedin.com/company/al-moammar-information-systems,500-1000,1981,"Al Moammar Information Systems is one of Saudi Arabia's oldest and most established IT companies, providing hardware, networking equipment, and full IT lifecycle services. The company is an authorized distributor for major global vendors including HP, Dell, Cisco, and others. It serves enterprise, government, and SME clients across the Kingdom with end-to-end IT infrastructure solutions.",False,True,"IT Hardware, Networking, Distribution, Enterprise IT, Cisco, HP, Dell"
